ID,StartTimeToronto,EndTimeToronto,CompletionCode,Bonus
1.70233E+12,11-12-2023 17:22,11-12-2023 17:28,nD5zOv3XGvrNNovJNJPZb,0.95
1.70233E+12,11-12-2023 17:22,11-12-2023 17:29,gmLup8ONg965FUcZXmMDA,0.17
1.70233E+12,11-12-2023 17:21,11-12-2023 18:02,8NHgRqiwPX-tGR7rxfugw,0.59
1.70233E+12,11-12-2023 17:28,11-12-2023 17:36,XiPFvz6QNmoEQkululYas,0
1.70233E+12,11-12-2023 17:21,11-12-2023 17:26,qpEmmiQIa9Chd3n5Aqyot,0.23
1.70233E+12,11-12-2023 17:21,11-12-2023 17:28,9HwOXcb4qlXvMPhWM8WBd,1
1.70233E+12,11-12-2023 17:21,11-12-2023 17:27,NLLfpYPZKZFPy-AO525Iy,0.86
1.70233E+12,11-12-2023 17:22,11-12-2023 17:26,qnbboVGD-0IrFjuzUkvdq,0.56
1.70233E+12,11-12-2023 17:30,11-12-2023 17:41,XjQNHtFO7CBcqB2VlnI1L,0.86
1.70233E+12,11-12-2023 17:22,11-12-2023 17:33,c1MeXZtnGqGGVvFoJ1Ufw,0.32
1.70233E+12,11-12-2023 17:22,11-12-2023 17:27,3b-pg5AtrgNIlIUnC578L,0.99
1.70233E+12,11-12-2023 17:22,11-12-2023 17:54,F5CdWRHb63RZOGYGeOPxC,0.79
1.70233E+12,11-12-2023 17:23,11-12-2023 17:35,iUa3jL0ZY9DVhAqXfgLU0,0.32
1.70233E+12,11-12-2023 17:23,11-12-2023 17:32,AA61W_FY8mfsimfCMHubu,1
1.70233E+12,11-12-2023 17:23,11-12-2023 17:26,Fo0iLdnp9opZjaozIICT0,0.84
1.70233E+12,11-12-2023 17:23,11-12-2023 18:01,sZG27FxM8Hq0NUw_bSzG8,0.47
1.70233E+12,11-12-2023 17:23,11-12-2023 17:29,dTXjxlh0l_HT4zJI4ruml,1
1.70233E+12,11-12-2023 17:25,11-12-2023 17:45,y1wxgr3CAfnuo7AybyG0Q,1
1.70233E+12,11-12-2023 17:23,11-12-2023 17:32,8LaCM4U8Du3IzF5S2GXrD,0.75
1.70233E+12,11-12-2023 17:32,11-12-2023 17:59,2SEECOjXnXuGjSBXlM1kK,0.46
1.70233E+12,11-12-2023 17:24,11-12-2023 17:31,uQ_CK9GH9cHwjMZ23SGS5,1
